,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,tipo_planeta,x,y,cluster_kmeans,densidad_gcm3,habitable
2606,Kepler-1342 b,1.6599999999999997,3.3899999999999864,2.2157103579999955,1283.0,0.031299999999999994,559.275,0.0,5527.0,0.9,Super-Tierra,0.47497076,9.379205,0.0,4.083448032221774,False
2607,Kepler-1343 b,1.9299999999999997,4.3799999999999955,3.3518315800000096,1294.0,0.04490000000000005,1021.904,0.0,5759.0,0.93,Super-Tierra,0.9589248,10.141045,0.0,3.357018869095069,False
2608,Kepler-1344 b,1.8399999999999999,4.0400000000000205,4.768304900000004,1219.0,0.05501000000000006,425.169,0.0,5981.0,1.13,Super-Tierra,-0.36292022,9.961348,0.0,3.573382407331325,False
2609,Kepler-1345 b,2.36,6.170000000000016,44.616955700000005,693.0,0.26412,68.469,0.0,6449.0,1.55,Sub-Neptuno,-5.441359,4.0934033,0.0,2.586430148652011,False
2610,Kepler-1346 b,1.58,3.1200000000000045,3.401656680000002,1236.0,0.043999999999999984,545.575,0.0,6133.0,1.21,Super-Tierra,-0.23142578,10.16893,0.0,4.358478741032662,False
2611,Kepler-1347 b,1.0300000000000002,1.079999999999984,14.009475280000004,617.0,0.10399999999999998,34.31999999999999,0.0,5193.0,0.79,Terrestre,-2.8319843,1.9764569,0.0,5.445824986478697,False
2612,Kepler-1348 b,1.94,4.420000000000016,27.57227420000001,636.0,0.1834,49.66500000000002,0.0,5911.0,1.04,Super-Tierra,-4.6930885,3.3074014,0.0,3.3355593953146534,False
2613,Kepler-1349 b,0.7000000000000002,0.271000000000015,2.1282392800000025,1668.0,0.03421000000000002,1862.33,0.0,6086.0,1.28,Terrestre,2.8965166,10.927857,0.0,4.353381924198489,False
2614,Kepler-135 b,1.81,3.930000000000007,6.002530000000007,1209.0,0.067,496.678,0.0,6090.0,1.275,Super-Tierra,-0.33948427,10.084354,0.0,3.6518121111866493,False
2615,Kepler-135 c,1.1600000000000001,1.6499999999999773,11.44870800000001,975.0,0.10299999999999998,209.967,0.0,6090.0,1.275,Terrestre,-2.438688,7.826723,0.0,5.824539239001107,False
2616,Kepler-1350 b,2.52,6.899999999999977,4.496860400000003,535.0,0.04130000000000006,27.175999999999988,0.0,3827.0,0.53,Sub-Neptuno,-0.587092,-0.91032743,0.0,2.375740860718177,False
2617,Kepler-1350 c,1.73,3.6399999999999864,1.7667890619999866,730.0,0.022199999999999998,94.05399999999992,0.0,3827.0,0.53,Super-Tierra,-0.23435773,0.18072534,0.0,3.8735991171398374,False
2618,Kepler-1351 b,0.6500000000000004,0.20800000000002683,0.9161407679999911,1212.0,0.015600000000000003,421.965,0.0,4439.0,0.67,Terrestre,1.027974,8.411251,0.0,4.173254437870354,False
2619,Kepler-1352 b,0.8899999999999997,0.6399999999999864,1.8778827479999904,1701.0,0.028830000000000022,1892.5860000000002,0.0,6118.0,1.16,Terrestre,2.9583848,10.955813,0.0,5.002205770750101,False
2620,Kepler-1353 b,1.7999999999999998,3.8899999999999864,24.754396600000007,491.0,0.15300000000000002,10.766999999999996,0.0,4776.0,0.72,Super-Tierra,-2.5258627,0.13346028,0.0,3.6752229080932666,False
2621,Kepler-1354 b,2.97,9.110000000000014,76.61337700000001,466.0,0.3521,18.860000000000014,0.0,6168.0,1.24,Sub-Neptuno,-6.140164,1.7389739,0.0,1.916022602120395,False
2622,Kepler-1355 b,1.46,2.730000000000018,1.28958811199999,1448.0,0.022399999999999975,944.873,0.0,5352.0,0.83,Super-Tierra,1.4418246,9.818707,0.0,4.833432729160969,False
2623,Kepler-1356 b,1.5300000000000002,2.9599999999999795,0.6340029369999911,1714.0,0.013600000000000001,1966.0570000000002,0.0,5106.0,0.78,Super-Tierra,3.1828964,10.68781,0.0,4.553748251119515,False
2624,Kepler-1357 b,1.2800000000000002,2.180000000000007,3.0091323999999986,1177.0,0.04099999999999998,449.975,0.0,5597.0,0.9,Super-Tierra,-0.19629252,8.910756,0.0,5.727672576904311,False
2625,Kepler-1358 b,1.12,1.4599999999999795,7.06317340999999,827.0,0.06559999999999999,98.834,0.0,5181.0,0.79,Terrestre,-1.4196438,2.9237413,0.0,5.725987381559685,False
2626,Kepler-1359 b,2.83,8.399999999999977,59.49709519999999,369.0,0.26657,2.451000000000022,0.0,4709.0,0.72,Sub-Neptuno,-3.6507065,-0.6232468,0.0,2.04207448189154,False
